number,symbol,name,turkishName,tur,kutle,e-dizilimi,konum,faz;
94,Pu,Plutonium,Plütonyum,actinoids,244,[Rn] 5f6 7s2,,Solid;
95,Am,Americium,Amerikyum,actinoids,243,[Rn] 5f7 7s2,,Solid;
96,Cm,Curium,Küriyum,actinoids,247,[Rn] 5f7 6d1 7s2,,Solid;
97,Bk,Berkelium,Berkelyum,actinoids,247,[Rn] 5f9 7s2,,Solid;
98,Cf,Californium,Kaliforniyum,actinoids,251,[Rn] 5f10 7s2,,Solid;
99,Es,Einsteinium,Aynştaynyum,actinoids,252,[Rn] 5f11 7s2,,Solid;
100,Fm,Fermium,Fermiyum,actinoids,257,[Rn] 5f12 7s2,,unknown;
101,Md,Mendelevium,Mendelevyum,actinoids,258,[Rn] 5f13 7s2,,unknown;
102,No,Nobelium,Nobelyum,actinoids,259,[Rn] 5f14 7s2,,unknown;
103,Lr,Lawrencium,Lavrensiyum,actinoids,262,[Rn] 5f14 7s2 7p1,,unknown;
104,Rf,Rutherfordium,Rutherfordiyum,gecismetal,261,[Rn] 5f14 6d2 7s2,,unknown;
105,Db,Dubnium,Dubniyum,gecismetal,262,[Rn] 5f14 6d3 7s2,,unknown;
106,Sg,Seaborgium,Seaborgiyum,gecismetal,266,[Rn] 5f14 6d4 7s2,,unknown;
107,Bh,Bohrium,Bohriyum,gecismetal,264,[Rn] 5f14 6d5 7s2,,unknown;
108,Hs,Hassium,Hassiyum,gecismetal,277,[Rn] 5f14 6d6 7s2,,unknown;
109,Mt,Meitnerium,Meitneriyum,unknown,268,[Rn] 5f14 6d7 7s2,,unknown;
110,Ds,Darmstadtium,Darmstadtiyum,unknown,unknown,[Rn] 5f14 6d9 7s1,,unknown;
111,Rg,Roentgenium,Röntgenyum,unknown,272,[Rn] 5f14 6d10 7s1,,unknown;
112,Cn,Copernicium,Kopemikyum,gecismetal,unknown,[Rn] 5f14 6d10 7s2,,unknown;
113,Nh,Nihonium,Nihonium,unknown,unknown,[Rn] 5f14 6d10 7s2 7p1,,unknown;
114,Fl,Flerovium,Flerovyum,unknown,unknown,[Rn] 5f14 6d10 7s2 7p2,,unknown;
115,Mc,Moscovium,Moscovium,unknown,unknown,[Rn] 5f14 6d10 7s2 7p3,,unknown;
116,Lv,Livermorium,Livermoryum,unknown,unknown,[Rn] 5f14 6d10 7s2 7p4,,unknown;
117,Ts,Tennessine,Tennessine,unknown,unknown,[Rn] 5f14 6d10 7s2 7p5,,unknown;
118,Og,Oganesson,Oganesson,soygaz,unknown,[Rn] 5f14 6d10 7s2 7p6,,unknown;
